PATH;VARIABLE_NAME;RELAY_NAME;CB_PATH;TYPE_BT;TYPE_MPU;BOOLEAN;INIT_VALUE;ID_REF;X_POS_I;X_CENTER;X_POS_F;Y_POS_I;Y_CENTER;Y_POS_F
LOCATION, INTERFACE;Li_IVc2QMiTfpR1;Q_MH_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var42;120;160;200;1760;1780;1800
LOCATION, INTERFACE;Li_IVc2QMiTfpR2;Q_MH_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var43;360;400;440;1760;1780;1800
LOCATION, INTERFACE;Li_IVc2QqC30R1;QQ_C_30;palpage/VC2/;BOOL;BOOL;1;TRUE;Var44;120;160;200;1840;1860;1880
LOCATION, INTERFACE;Li_IVc2QqC30R2;QQ_C_30;palpage/VC2/;BOOL;BOOL;1;TRUE;Var45;360;400;440;1840;1860;1880
LOCATION, INTERFACE;Li_IVe1BpUrgPtDe;BP_URG_PT_DE_VE1;;BOOL;BOOL;1;TRUE;Var46;120;160;200;1920;1940;1960
LOCATION, INTERFACE;Li_IVe1C1VtGvTfpR1;C1_VT_GV_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var47;360;400;440;1920;1940;1960
LOCATION, INTERFACE;Li_IVe1C1VtGvTfpR2;C1_VT_GV_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var48;120;160;200;2000;2020;2040
LOCATION, INTERFACE;Li_IVe1C2VtGvTfpR1;C2_VT_GV_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var49;360;400;440;2000;2020;2040
LOCATION, INTERFACE;Li_IVe1C2VtGvTfpR2;C2_VT_GV_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var50;120;160;200;2080;2100;2120
LOCATION, INTERFACE;Li_IVe1CcDmrGrogR1;CC_DMR_GROG;dem_arret_mot_diesel/VE1/;BOOL;BOOL;1;TRUE;Var51;360;400;440;2080;2100;2120
LOCATION, INTERFACE;Li_IVe1CcDmrGrogR2;CC_DMR_GROG;dem_arret_mot_diesel/VE1/;BOOL;BOOL;1;TRUE;Var52;120;160;200;2160;2180;2200
LOCATION, INTERFACE;Li_IVe1CcMaSuPtR1;CC_MA_SU_PT;cde_panto/VE1/;BOOL;BOOL;1;TRUE;Var53;360;400;440;2160;2180;2200
LOCATION, INTERFACE;Li_IVe1CcMaSuPtR2;CC_MA_SU_PT;cde_panto/VE1/;BOOL;BOOL;1;TRUE;Var54;120;160;200;2240;2260;2280
LOCATION, INTERFACE;Li_IVe1CcMPhTfpR1;CC_M_PH_TFP;puis_tfp/f05v_ve1_puis_tfp/;BOOL;BOOL;1;TRUE;Var55;360;400;440;2240;2260;2280
LOCATION, INTERFACE;Li_IVe1CcMPhTfpR2;CC_M_PH_TFP;puis_tfp/f05v_ve1_puis_tfp/;BOOL;BOOL;1;TRUE;Var56;120;160;200;2320;2340;2360
LOCATION, INTERFACE;Li_IVe1CcQtR1;CC_DET_QT;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var57;360;400;440;2320;2340;2360
LOCATION, INTERFACE;Li_IVe1CcQtR2;CC_DET_QT;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var58;120;160;200;2400;2420;2440
LOCATION, INTERFACE;Li_IVe1CcTfpR1;CC_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var59;360;400;440;2400;2420;2440
LOCATION, INTERFACE;Li_IVe1CcTfpR2;CC_TFP;sec_tfp/VE1/;BOOL;BOOL;1;TRUE;Var60;120;160;200;2480;2500;2520
LOCATION, INTERFACE;Li_IVe1CcVtGvTfpR1;CC_VT_GV_TFP;puis_tfp/f05v_ve1_puis_tfp/;BOOL;BOOL;1;TRUE;Var61;360;400;440;2480;2500;2520
LOCATION, INTERFACE;Li_IVe1CcVtGvTfpR2;CC_VT_GV_TFP;puis_tfp/f05v_ve1_puis_tfp/;BOOL;BOOL;1;TRUE;Var62;120;160;200;2560;2580;2600
LOCATION, INTERFACE;Li_IVe1CcVtPvTfpR1;CC_VT_PV_TFP;puis_tfp/f05v_ve1_puis_tfp/;BOOL;BOOL;1;TRUE;Var63;360;400;440;2560;2580;2600
LOCATION, INTERFACE;Li_IVe1CcVtPvTfpR2;CC_VT_PV_TFP;puis_tfp/f05v_ve1_puis_tfp/;BOOL;BOOL;1;TRUE;Var64;120;160;200;2640;2660;2680
LOCATION, INTERFACE;Li_IVe1CcVtTfpR1;CC_VT_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var65;360;400;440;2640;2660;2680
LOCATION, INTERFACE;Li_IVe1CcVtTfpR2;CC_VT_TFP;cde_tfp/VC2/;BOOL;BOOL;1;TRUE;Var66;120;160;200;2720;2740;2760
